
# Format: epsg code, shortname, name, semi-major-axis (a), semi-minor-axis (b), flattening, comment
7036, "grs1967",          "GRS 1967",          6378160,0,298.247167427,               "Adopted by IUGG 1967 Lucerne.  1/f given is derived from geocentric gravitational constant (GM)= 398603e9 m*m*m/s/s; dynamic form factor (J2) = 0.0010827 and Earths angular velocity w = 7.2921151467e-5 rad/s. See also GRS 1967 Modified (code 7050)."
7041, "ats1977",          "Average Terrestrial System 1977",          6378135,0,298257,                     "Average Terrestrial System of 1977"
7042, "everest1830Def",   "Everest 1830 Definition",   6377276.345,nan,300.8017,             "Everest gave a and b to 2 decimal places and also 1/f=300.8017 (to 4 decimal places exactly). In the 19th century b was normally given as the second defining parameter."
7043, "wgs72",            "World Geodetic System 1972",            6378135,0,298.26,                        ""
7044, "everest1962",      "Everest 1962 Definition",   6377301243,0,300.8017255,"Used by Pakistan since metrication.  Clarkes 1865 Indian foot-British foot ratio (0.99999566) and his 1865 British inch-metre ratio (39.369971) rounded with slight error as 1 Ind ft = 0.3047995m exactly and applied to Everests 1830 definition of a & b."
7045, "everest1975",      "Everest 1975 Definition",   6377299151,0,300.8017255,"Used by India since metrication.  Clarkes 1865 Indian foot-British foot ratio (0.99999566) and his 1865 British inch-metre ratio (39.369971) rounded as 1 Ind ft = 0.3047995m exactly applied to Everests 1830 original definition taken as a and b."
7046, "besselNamibia",    "Bessel Namibia GLM",             6377397155,0,299.1528128,  "The semi-major axis has the same value as the Bessel 1841 ellipsoid (code 7004) but is in different units - German Legal Metres rather than International metres - hence a different size.  a = 6377483.865 International metres. Used in Namibia."
7048, "grs1980authalic",  "GRS 1980 Authalic Sphere",        6371007,6371007,0,     "Authalic sphere derived from GRS 1980 ellipsoid (code 7019).  (An authalic sphere is one with a surface area equal to the surface area of the ellipsoid). 1/f is infinite."
7049, "iag1975",          "IAG 1975",                      6378140,0,298257,                      ""
7050, "grs1967",          "GRS 1967 Modified",                   6378160,0,298.25,             "Based on the GRS 1967 figure (code 7036) but with 1/f taken to 2 decimal places exactly. Used with SAD69 and TWD67 datums. The dimensions are also used as the Australian National Spheroid (code 7003)."
7051, "danish",           "Danish 1876",                   6377019.27,0,300,                   "Semi-major axis originally given as 3271883.25 toise. Uses toise to French metre ratio of 1.94903631 to two decimal place precision. An alternative ratio with the German legal metre of 1.9490622 giving 6377104m has not been used in Danish work."
7052, "clarke1866authalic", "Clarke 1866 Authalic Sphere",     6370997,6370997,0,  "Authalic sphere derived from Clarke 1866 ellipsoid (code 7008)."
7053, "hough1960",        "Hough 1960",                    6378270,0,297,                       ""
7054, "pz90",             "PZ-90",                           6378136,0,298.257839303,                  ""
7055, "clarke1880",       "Clarke 1880 (international foot)", 6378306.370, 6356571.996, nan, "Clarke's 1880 definition in feet assumed for the purposes of metric conversion to be international foot."
7056, "everest1969",      "Everest 1969 RSO",                 6377295664,0,300.8017,              "Adopted for 1969 metrication of peninsula Malaysia RSO grid.  Uses Sears 1922 yard-metre ratio truncated to 6 significant figures applied to Everest 1830 original definition of a and 1/f but with a taken to be in British rather than Indian feet."
7057, "intl1924authalic", "International 1924 Authalic Sphere",         6371228,6371228,0,                  "Authalic sphere derived from International 1924 ellipsoid (code 7022)."
7058, "hughes1980",       "Hughes 1980",                     6378273,6356889449,0,               "Used in US DMSP SSM/I microwave sensor processing software. Semi-minor axis derived from eccentricity=0.081816153. Semi-major axis (a) sometimes given as 3443.992nm which OGP suspects is a derived approximation. OGP conversion assumes 1nm=1852m exactly."
7059, "pvs",              "Popular Visualisation Sphere",     6378137,6378137,0,                  "Sphere with radius equal to the semi-major axis of the GRS80 and WGS 84 ellipsoids. Used only for Web approximate mapping and visualisation. Not recognised by geodetic authorities."
